"","Sec","variable","value"
"592","CD","Mkt-Rf",0.0125811615014254
"593","H","Mkt-Rf",0.0113751640735578
"594","CD","Mkt-Rf",0.00572147440478463
"595","H","Mkt-Rf",0.00615775122813607
"596","I","Mkt-Rf",0.0102015732887498
"597","I","Mkt-Rf",0.00764233147667488
"598","H","Mkt-Rf",0.0130910096897566
"599","E","Mkt-Rf",0.0131170411161695
"600","RE","Mkt-Rf",0.00465002630970068
"601","FI","Mkt-Rf",0.0101119591079421
"602","CD","Mkt-Rf",0.012099354736936
"603","CD","Mkt-Rf",0.0109404989915778
"604","CD","Mkt-Rf",0.00951816581330452
"605","CD","Mkt-Rf",0.00317165214865707
"606","U","Mkt-Rf",0.00322186085899972
"607","I","Mkt-Rf",0.0125462224914904
"608","M","Mkt-Rf",0.0151746746651113
"609","CS","Mkt-Rf",0.00266010168330931
"610","U","Mkt-Rf",0.00287204783756589
"611","RE","Mkt-Rf",0.0116245884666511
"612","U","Mkt-Rf",0.0024973217257043
"613","IT","Mkt-Rf",0.00984436245388746
"614","FI","Mkt-Rf",0.0162748930036093
"615","M","Mkt-Rf",0.0145404931405194
"616","I","Mkt-Rf",0.0138787183885199
"617","IT","Mkt-Rf",0.0104715456392042
"618","M","Mkt-Rf",0.00721331108551887
"619","U","Mkt-Rf",0.00360110774180003
"620","H","Mkt-Rf",0.00458561411581754
"621","IT","Mkt-Rf",0.00802497694598552
"622","I","Mkt-Rf",0.011401206664607
"623","U","Mkt-Rf",0.00485747252905648
"624","E","Mkt-Rf",0.00883264468038727
"625","E","Mkt-Rf",0.00749596968775859
"626","I","Mkt-Rf",0.00972747245488351
"627","RE","Mkt-Rf",0.00952659578872709
"628","RE","Mkt-Rf",0.00550353116327339
"629","RE","Mkt-Rf",0.00602136630636373
"630","CS","Mkt-Rf",0.0104321549085571
"631","U","Mkt-Rf",0.00434193035281415
"632","FI","Mkt-Rf",0.00561252987388301
"633","U","Mkt-Rf",0.00478123055472498
"634","CD","Mkt-Rf",0.0106203198305271
"635","I","Mkt-Rf",0.0092530432198526
"636","H","Mkt-Rf",0.00905903230677759
"637","RE","Mkt-Rf",0.0072521468164224
"638","E","Mkt-Rf",0.00744907954877031
"639","IT","Mkt-Rf",0.0149392117808791
"640","I","Mkt-Rf",0.00792964081715701
"641","RE","Mkt-Rf",0.00485563759271302
"642","I","Mkt-Rf",0.0122530203649475
"643","IT","Mkt-Rf",0.00758044312104855
"644","FI","Mkt-Rf",0.00920341503213049
"645","U","Mkt-Rf",0.00359482704262336
"646","IT","Mkt-Rf",0.00959960799391529
"647","IT","Mkt-Rf",0.00542584211562418
"648","I","Mkt-Rf",0.0153874800538429
"649","I","Mkt-Rf",0.0133369817162034
"650","M","Mkt-Rf",0.0117021096649395
"651","CD","Mkt-Rf",0.00997895022242422
"652","CD","Mkt-Rf",0.012585563143991
"653","I","Mkt-Rf",0.010966820543948
"654","FI","Mkt-Rf",0.0153370637405126
